Date,Time,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
2023-05-30,22:59,ACC181748,ACC888419,4931.17,AED,AED,UAE,Morocco,E-Wallet,0,Normal_Personal_Transfer
2023-12-25,00:48,ACC786779,ACC162979,3677.16,AED,MXN,China,Morocco,Debit Card,0,Normal_Corporate_Payment
2023-02-10,13:54,ACC165195,ACC924029,4714.86,TRY,USD,Morocco,USA,Credit Card,0,Normal_Personal_Transfer
2023-05-26,03:59,ACC829055,ACC183905,8010.26,AED,USD,Mexico,UAE,Cheque,1,Suspicious_Cash_Intensive
2023-12-20,17:05,ACC714134,ACC783228,4612.38,USD,MXN,Morocco,UAE,Mobile Payment,0,Normal_Corporate_Payment
2023-11-12,04:13,ACC726692,ACC176970,637.88,AED,CNY,Germany,USA,Cheque,1,Suspicious_RapidMovement
2023-10-26,05:38,ACC401286,ACC163805,9056.36,TRY,MAD,UAE,China,Credit Card,0,Normal_Corporate_Payment
2023-04-05,11:51,ACC885608,ACC219779,5452.71,TRY,TRY,UK,UAE,Debit Card,0,Normal_Corporate_Payment
2023-03-04,21:57,ACC171540,ACC573300,9245.7,EUR,GBP,Morocco,UK,Cross-Border,1,Suspicious_CrossBorder_Transfer
2023-09-02,05:04,ACC793649,ACC509852,5727.82,MAD,AED,Mexico,USA,Cross-Border,1,Suspicious_CrossBorder_Transfer
2023-12-06,03:27,ACC439092,ACC681755,705.67,MXN,TRY,Mexico,China,Mobile Payment,0,Normal_Corporate_Payment
2023-07-23,18:12,ACC945383,ACC591135,5533.17,EUR,CNY,Morocco,UK,Cross-Border,1,Suspicious_Structuring
2023-07-28,12:00,ACC111755,ACC732020,5761.63,USD,MAD,Mexico,USA,ACH Transfer,0,Normal_Personal_Transfer
2023-04-13,21:52,ACC877203,ACC248079,2151.26,EUR,GBP,USA,USA,Cheque,1,Suspicious_CrossBorder_Transfer
2023-10-08,03:31,ACC480129,ACC463604,4715.58,EUR,EUR,Germany,Morocco,Debit Card,0,Normal_Corporate_Payment
2023-03-10,15:30,ACC708841,ACC588963,4599.82,EUR,GBP,USA,UK,ACH Transfer,0,Normal_Personal_Transfer
2023-04-29,05:35,ACC234962,ACC832224,6232.53,USD,AED,USA,Turkey,ACH Transfer,0,Normal_Corporate_Payment
2023-06-05,03:45,ACC980808,ACC496605,2603.54,USD,TRY,Germany,UK,Mobile Payment,0,Normal_Personal_Transfer
2023-07-05,16:24,ACC356760,ACC218105,5821.67,CNY,GBP,China,Mexico,Debit Card,0,Normal_Corporate_Payment
2023-03-30,14:14,ACC117175,ACC224535,2417.11,EUR,EUR,Turkey,Morocco,ACH Transfer,0,Normal_Corporate_Payment
2023-02-11,18:06,ACC952119,ACC371602,4469.99,EUR,EUR,UK,Mexico,Mobile Payment,0,Normal_Corporate_Payment
2023-08-11,07:25,ACC971415,ACC692769,1235.83,TRY,USD,UAE,China,Cheque,1,Suspicious_Structuring
2023-04-16,10:45,ACC581503,ACC699176,382.63,CNY,AED,Morocco,China,Debit Card,0,Normal_Personal_Transfer
2023-08-01,09:43,ACC850071,ACC700310,3212.67,MXN,EUR,UAE,UAE,E-Wallet,0,Normal_Personal_Transfer
2023-02-26,23:37,ACC779648,ACC272472,2752.97,TRY,MXN,Turkey,Germany,Cross-Border,1,Suspicious_RapidMovement
2023-06-25,07:00,ACC146629,ACC691916,4075.29,MAD,TRY,Turkey,Mexico,Cross-Border,1,Suspicious_Cash_Intensive
2023-07-14,07:04,ACC741067,ACC807217,9620.21,MXN,MXN,Turkey,UK,ACH Transfer,0,Normal_Personal_Transfer
2023-01-19,08:30,ACC278872,ACC267599,5227.07,CNY,MAD,Turkey,UAE,Credit Card,0,Normal_Personal_Transfer
2023-05-03,13:33,ACC792727,ACC694936,5536.24,MAD,MXN,Germany,UAE,Debit Card,0,Normal_Personal_Transfer
2023-02-19,06:03,ACC570970,ACC903369,9416.59,MXN,TRY,Turkey,Mexico,Cash,1,Suspicious_Cash_Intensive
2023-01-24,21:58,ACC430657,ACC793032,9212.26,EUR,CNY,UK,Turkey,Mobile Payment,0,Normal_Personal_Transfer
2023-12-28,06:22,ACC707050,ACC866922,8842.28,CNY,MAD,Morocco,Morocco,E-Wallet,0,Normal_Corporate_Payment
2023-04-28,21:29,ACC260094,ACC625400,988.97,CNY,MXN,China,UAE,Cash,1,Suspicious_Related_Accounts
2023-10-23,02:29,ACC824689,ACC590492,6346.63,TRY,CNY,Germany,UAE,ACH Transfer,0,Normal_Corporate_Payment
2023-04-03,15:45,ACC157941,ACC582233,8082.91,MXN,MXN,Turkey,China,Credit Card,0,Normal_Corporate_Payment
2023-09-06,21:46,ACC405617,ACC934787,8357.39,MAD,AED,Mexico,Turkey,Debit Card,0,Normal_Personal_Transfer
2023-10-05,04:02,ACC810958,ACC175561,5783.29,MXN,MAD,Morocco,China,Cross-Border,1,Suspicious_Structuring
2023-08-06,23:14,ACC116040,ACC265154,184.78,USD,MXN,Germany,Turkey,ACH Transfer,0,Normal_Corporate_Payment
2023-06-22,10:52,ACC169806,ACC742469,9737.39,MXN,EUR,China,UAE,Debit Card,0,Normal_Personal_Transfer
2023-05-31,22:41,ACC768646,ACC684770,4727.25,AED,CNY,Turkey,China,Debit Card,0,Normal_Personal_Transfer
2023-05-08,16:14,ACC300211,ACC703386,3942.02,EUR,TRY,USA,UK,Debit Card,0,Normal_Personal_Transfer
2023-12-06,07:14,ACC736364,ACC504520,3955.54,GBP,TRY,Germany,Turkey,Credit Card,0,Normal_Corporate_Payment
2023-10-31,04:31,ACC155916,ACC156625,4247.27,USD,TRY,Morocco,Morocco,Debit Card,0,Normal_Personal_Transfer
2023-12-19,07:17,ACC772960,ACC486503,2429.39,GBP,MXN,Morocco,USA,Credit Card,0,Normal_Corporate_Payment
2023-02-15,02:13,ACC495507,ACC433390,3280.06,CNY,EUR,Mexico,China,Credit Card,0,Normal_Corporate_Payment
2023-09-24,03:27,ACC506339,ACC374732,9853.72,EUR,TRY,Morocco,UAE,Cheque,1,Suspicious_Shell_Companies
2023-12-09,02:30,ACC890243,ACC228658,3688.0,AED,GBP,Germany,Mexico,E-Wallet,0,Normal_Corporate_Payment
2023-03-08,10:09,ACC655564,ACC645255,5271.98,CNY,TRY,USA,USA,Debit Card,0,Normal_Corporate_Payment
2023-01-25,19:05,ACC285217,ACC492297,8484.46,GBP,USD,Germany,Mexico,Cheque,1,Suspicious_CrossBorder_Transfer
2023-09-28,03:23,ACC967481,ACC386400,5279.0,CNY,GBP,Mexico,UAE,Cross-Border,1,Suspicious_CrossBorder_Transfer
2023-07-29,03:07,ACC301750,ACC813708,3251.29,MXN,TRY,China,China,Cheque,1,Suspicious_Cash_Intensive
2023-11-04,15:26,ACC319854,ACC836332,5242.27,GBP,MXN,Mexico,UAE,E-Wallet,0,Normal_Personal_Transfer
2023-02-21,04:43,ACC846403,ACC842711,1149.72,TRY,CNY,China,UK,Cheque,1,Suspicious_Related_Accounts
2023-10-18,02:20,ACC811045,ACC813839,1308.77,EUR,TRY,Mexico,Morocco,E-Wallet,0,Normal_Corporate_Payment
2023-03-15,04:00,ACC767554,ACC967164,6944.13,TRY,EUR,UK,Morocco,Mobile Payment,0,Normal_Corporate_Payment
2023-03-01,22:10,ACC435206,ACC553416,9175.43,GBP,EUR,Germany,USA,Mobile Payment,0,Normal_Corporate_Payment
2023-03-01,19:42,ACC250434,ACC838985,7259.52,CNY,TRY,UAE,USA,Mobile Payment,0,Normal_Corporate_Payment
2023-10-25,08:29,ACC940931,ACC576356,755.39,AED,AED,Morocco,China,Debit Card,0,Normal_Corporate_Payment
2023-08-31,15:44,ACC670569,ACC754433,4034.93,CNY,MXN,Germany,Morocco,Cross-Border,1,Suspicious_CrossBorder_Transfer
2023-07-10,12:53,ACC931284,ACC495722,35.51,CNY,MXN,USA,Morocco,ACH Transfer,0,Normal_Personal_Transfer
2023-05-11,16:15,ACC886408,ACC198120,5116.96,TRY,MXN,UK,Turkey,Cash,1,Suspicious_Related_Accounts
2023-11-17,16:23,ACC877981,ACC776069,1940.11,USD,TRY,USA,China,ACH Transfer,0,Normal_Personal_Transfer
2023-05-24,15:05,ACC604869,ACC813895,8682.79,GBP,CNY,Germany,China,Credit Card,0,Normal_Personal_Transfer
2023-10-26,06:23,ACC803196,ACC406984,1052.31,MAD,TRY,USA,Morocco,E-Wallet,0,Normal_Corporate_Payment
2023-06-10,00:56,ACC628883,ACC345512,24.32,TRY,USD,China,Germany,ACH Transfer,0,Normal_Personal_Transfer
2023-05-18,10:56,ACC720218,ACC999079,4516.95,MXN,EUR,UK,UK,Cash,1,Suspicious_CrossBorder_Transfer
2023-06-18,21:23,ACC246474,ACC291659,1562.78,GBP,AED,Morocco,Turkey,E-Wallet,0,Normal_Personal_Transfer
2023-04-21,13:40,ACC361745,ACC159321,7382.48,AED,GBP,Mexico,UAE,Cash,1,Suspicious_RapidMovement
2023-09-30,19:58,ACC820643,ACC334855,9200.15,MAD,GBP,China,UK,Cross-Border,1,Suspicious_Structuring
2023-07-03,23:47,ACC454820,ACC143202,428.96,AED,CNY,Turkey,Morocco,Mobile Payment,0,Normal_Personal_Transfer
2023-03-26,03:55,ACC798083,ACC287660,3961.87,USD,EUR,Mexico,China,ACH Transfer,0,Normal_Personal_Transfer
2023-11-25,16:36,ACC282394,ACC758450,9968.18,MXN,MAD,USA,Germany,Credit Card,0,Normal_Personal_Transfer
2023-05-21,16:10,ACC802124,ACC598017,7329.39,GBP,USD,Germany,UAE,Cheque,1,Suspicious_Related_Accounts
2023-07-18,23:31,ACC518127,ACC421375,9532.34,AED,EUR,China,UAE,Cheque,1,Suspicious_Related_Accounts
2023-11-27,23:39,ACC846648,ACC907984,1649.19,MXN,USD,UK,Morocco,Credit Card,0,Normal_Corporate_Payment
2023-08-16,16:28,ACC905837,ACC325743,2221.47,GBP,MAD,Mexico,China,Cross-Border,1,Suspicious_Related_Accounts
2023-02-12,05:50,ACC158122,ACC311299,1556.56,GBP,USD,Turkey,China,E-Wallet,0,Normal_Corporate_Payment
2023-12-10,19:09,ACC854849,ACC383805,3030.67,EUR,MXN,China,UK,Cheque,1,Suspicious_Shell_Companies
2023-08-18,02:34,ACC332661,ACC272097,7246.6,TRY,EUR,Morocco,Morocco,Cross-Border,1,Suspicious_Structuring
2023-05-03,18:44,ACC753197,ACC499308,1657.82,GBP,GBP,Morocco,Germany,Cheque,1,Suspicious_Shell_Companies
2023-02-20,21:50,ACC365591,ACC755930,5247.1,USD,TRY,Germany,UK,Cheque,1,Suspicious_Related_Accounts
2023-10-17,09:11,ACC284215,ACC952275,2699.41,MAD,MAD,UK,China,ACH Transfer,0,Normal_Corporate_Payment
2023-08-15,15:08,ACC110662,ACC553968,8293.67,TRY,MAD,UK,Mexico,Cross-Border,1,Suspicious_Structuring
2023-07-14,10:19,ACC556217,ACC431422,75.86,EUR,TRY,Mexico,USA,Cash,1,Suspicious_Related_Accounts
2023-11-23,10:30,ACC682570,ACC862638,2238.92,TRY,EUR,China,Morocco,Credit Card,0,Normal_Corporate_Payment
2023-10-15,07:26,ACC498115,ACC194328,6056.36,TRY,AED,China,Turkey,Cheque,1,Suspicious_RapidMovement
2023-02-25,18:17,ACC915014,ACC750643,976.14,GBP,TRY,UAE,China,Mobile Payment,0,Normal_Corporate_Payment
2023-04-24,22:28,ACC691759,ACC338340,4668.46,USD,USD,UK,Turkey,Cash,1,Suspicious_CrossBorder_Transfer
2023-04-01,22:34,ACC747801,ACC386342,4367.71,GBP,TRY,Morocco,UAE,Debit Card,0,Normal_Corporate_Payment
2023-09-29,04:11,ACC273285,ACC161201,8526.7,AED,USD,UAE,Germany,Cash,1,Suspicious_Related_Accounts
2023-01-13,20:59,ACC731866,ACC435415,6257.72,USD,USD,USA,Morocco,Mobile Payment,0,Normal_Corporate_Payment
2023-07-28,17:41,ACC962303,ACC312810,6400.62,AED,GBP,UK,Mexico,Credit Card,0,Normal_Personal_Transfer
2023-10-06,06:04,ACC707493,ACC504593,9518.56,USD,TRY,Germany,Turkey,Debit Card,0,Normal_Personal_Transfer
2023-11-17,01:36,ACC960513,ACC473722,9823.78,MXN,AED,China,Morocco,ACH Transfer,0,Normal_Corporate_Payment
2023-05-05,06:25,ACC992215,ACC835193,6537.41,GBP,GBP,Morocco,Turkey,Mobile Payment,0,Normal_Personal_Transfer
2023-10-27,21:53,ACC334631,ACC501252,5224.79,CNY,AED,Mexico,Germany,Debit Card,0,Normal_Corporate_Payment
2023-02-10,15:11,ACC183805,ACC402508,6083.12,CNY,TRY,UAE,China,Cross-Border,1,Suspicious_CrossBorder_Transfer
2023-11-05,17:18,ACC224698,ACC583121,3830.61,AED,AED,China,China,Credit Card,0,Normal_Personal_Transfer
2023-02-16,06:10,ACC268902,ACC200353,9874.69,EUR,USD,Morocco,USA,Cross-Border,1,Suspicious_RapidMovement
2023-05-26,17:15,ACC110712,ACC873331,7053.16,MAD,AED,UK,Germany,Cash,1,Suspicious_Shell_Companies
2023-10-19,00:40,ACC443671,ACC792803,2917.16,CNY,TRY,Germany,Mexico,ACH Transfer,0,Normal_Corporate_Payment
2023-02-24,09:00,ACC751176,ACC494879,587.09,CNY,MAD,USA,USA,Credit Card,0,Normal_Personal_Transfer
2023-03-25,15:02,ACC856686,ACC270316,456.77,TRY,MAD,Morocco,Morocco,ACH Transfer,0,Normal_Corporate_Payment
2023-09-21,03:30,ACC618680,ACC963996,2057.08,MXN,GBP,Morocco,Germany,Cheque,1,Suspicious_RapidMovement
2023-09-20,19:45,ACC296437,ACC246149,2336.8,AED,CNY,China,China,Credit Card,0,Normal_Personal_Transfer
2023-08-23,05:38,ACC711473,ACC813209,4156.3,EUR,MXN,UK,USA,Mobile Payment,0,Normal_Corporate_Payment
2023-09-11,15:39,ACC461995,ACC729735,2156.31,MAD,MAD,Turkey,China,Cross-Border,1,Suspicious_Structuring
2023-07-18,09:43,ACC524022,ACC381775,6312.8,MAD,AED,UK,UK,Cash,1,Suspicious_CrossBorder_Transfer
2023-04-02,14:18,ACC636498,ACC808012,2120.43,GBP,GBP,UK,UK,Debit Card,0,Normal_Personal_Transfer
2023-05-07,02:34,ACC136972,ACC560662,1886.89,USD,AED,Germany,USA,E-Wallet,0,Normal_Corporate_Payment
2023-03-08,00:24,ACC861254,ACC919932,4717.66,AED,MXN,UAE,USA,E-Wallet,0,Normal_Personal_Transfer
2023-11-28,21:49,ACC396280,ACC513113,8887.8,GBP,EUR,UAE,Germany,ACH Transfer,0,Normal_Personal_Transfer
2023-08-01,06:28,ACC537513,ACC421059,4688.37,MAD,GBP,UK,Morocco,Credit Card,0,Normal_Personal_Transfer
2023-05-27,19:40,ACC902377,ACC989192,4144.35,GBP,MAD,Morocco,Mexico,Credit Card,0,Normal_Personal_Transfer
2023-06-18,23:59,ACC850561,ACC389041,5785.17,MXN,MAD,UK,Mexico,Cheque,1,Suspicious_Structuring
2023-12-12,05:04,ACC441324,ACC802640,2579.56,AED,TRY,UK,UK,ACH Transfer,0,Normal_Personal_Transfer
2023-02-25,06:21,ACC432597,ACC725927,3540.83,EUR,MXN,UAE,UAE,Debit Card,0,Normal_Corporate_Payment
2023-08-02,15:54,ACC971836,ACC211118,2146.21,MAD,MAD,China,UK,Cash,1,Suspicious_Shell_Companies
2023-07-04,23:10,ACC103052,ACC419464,5722.38,AED,TRY,UK,UK,Credit Card,0,Normal_Corporate_Payment
2023-08-12,21:58,ACC389416,ACC827952,6976.9,CNY,MXN,Germany,China,E-Wallet,0,Normal_Corporate_Payment
2023-01-07,12:04,ACC403294,ACC587702,6740.25,MXN,GBP,Turkey,Mexico,Credit Card,0,Normal_Personal_Transfer
2023-11-15,19:04,ACC851564,ACC954721,2555.63,EUR,GBP,China,USA,ACH Transfer,0,Normal_Corporate_Payment
2023-12-07,03:15,ACC248388,ACC656229,7798.69,CNY,TRY,UAE,UK,ACH Transfer,0,Normal_Corporate_Payment
2023-07-26,23:27,ACC546605,ACC855036,2566.98,MXN,GBP,Morocco,Turkey,Credit Card,0,Normal_Personal_Transfer
2023-09-12,23:08,ACC762600,ACC245306,1511.61,TRY,TRY,Turkey,UAE,Credit Card,0,Normal_Personal_Transfer
2023-12-03,03:55,ACC983527,ACC699460,3504.59,USD,USD,UK,Germany,Cheque,1,Suspicious_Shell_Companies
2023-09-16,07:11,ACC430918,ACC103376,5981.46,CNY,AED,USA,Morocco,Credit Card,0,Normal_Personal_Transfer
2023-02-25,02:24,ACC929607,ACC392927,1428.6,CNY,MXN,Turkey,USA,Cross-Border,1,Suspicious_CrossBorder_Transfer
2023-07-30,06:31,ACC493781,ACC534465,6484.39,USD,TRY,Germany,Morocco,Credit Card,0,Normal_Personal_Transfer
2023-08-10,19:34,ACC116375,ACC405169,8632.05,USD,MXN,UAE,USA,Cash,1,Suspicious_Shell_Companies
2023-06-04,09:04,ACC649998,ACC640735,2938.47,TRY,CNY,USA,USA,Cash,1,Suspicious_Cash_Intensive
2023-09-26,02:07,ACC805255,ACC316937,4507.56,MAD,USD,Germany,Mexico,Mobile Payment,0,Normal_Corporate_Payment
2023-12-08,08:12,ACC878912,ACC641001,2290.82,MAD,MXN,Morocco,UAE,Cheque,1,Suspicious_Related_Accounts
2023-12-04,23:33,ACC770534,ACC891290,3619.0,TRY,TRY,USA,UK,Debit Card,0,Normal_Personal_Transfer
2023-06-14,15:06,ACC469170,ACC806475,229.49,USD,AED,UK,Germany,ACH Transfer,0,Normal_Personal_Transfer
2023-02-11,09:59,ACC580545,ACC159834,9538.16,USD,AED,USA,UAE,Debit Card,0,Normal_Personal_Transfer
2023-12-26,03:59,ACC127597,ACC706348,4164.74,EUR,GBP,Morocco,Morocco,Credit Card,0,Normal_Corporate_Payment
2023-11-03,23:40,ACC436433,ACC867283,7890.81,EUR,AED,Turkey,China,ACH Transfer,0,Normal_Corporate_Payment
2023-02-15,19:42,ACC531613,ACC557199,1435.01,CNY,AED,UAE,Germany,Credit Card,0,Normal_Corporate_Payment
2023-12-03,06:45,ACC185687,ACC512073,8125.43,GBP,CNY,USA,Germany,ACH Transfer,0,Normal_Corporate_Payment
2023-11-14,01:40,ACC218968,ACC990330,8602.87,CNY,MXN,Germany,Turkey,Cheque,1,Suspicious_Cash_Intensive
2023-07-09,01:21,ACC664562,ACC988639,7157.62,AED,MXN,UK,Germany,Mobile Payment,0,Normal_Corporate_Payment
2023-08-04,02:53,ACC567453,ACC297057,9033.05,AED,MAD,Germany,China,Cross-Border,1,Suspicious_Cash_Intensive
2023-05-26,13:56,ACC303570,ACC552385,1680.3,AED,MAD,UK,Germany,E-Wallet,0,Normal_Personal_Transfer
2023-01-20,22:17,ACC531413,ACC186366,4770.05,MXN,USD,Turkey,Turkey,Mobile Payment,0,Normal_Personal_Transfer
2023-05-03,11:55,ACC672922,ACC252150,6204.89,EUR,EUR,Mexico,Germany,Cross-Border,1,Suspicious_Structuring
2023-10-21,20:13,ACC916473,ACC887301,5965.97,EUR,AED,China,UAE,Cross-Border,1,Suspicious_CrossBorder_Transfer
2023-01-02,10:42,ACC447509,ACC424768,8611.8,EUR,GBP,Turkey,Morocco,Mobile Payment,0,Normal_Personal_Transfer
2023-05-02,17:00,ACC938418,ACC271147,2164.76,EUR,AED,Morocco,UK,Cheque,1,Suspicious_Related_Accounts
2023-05-26,17:33,ACC911802,ACC193676,1764.68,CNY,TRY,Turkey,Turkey,Mobile Payment,0,Normal_Corporate_Payment
2023-07-16,04:10,ACC397391,ACC627947,2541.25,TRY,USD,China,UK,Debit Card,0,Normal_Corporate_Payment
2023-12-02,08:40,ACC481688,ACC529586,8916.58,GBP,TRY,Germany,UK,ACH Transfer,0,Normal_Personal_Transfer
2023-05-07,15:17,ACC306994,ACC993320,9410.86,EUR,TRY,Turkey,USA,Debit Card,0,Normal_Personal_Transfer
2023-05-07,01:41,ACC880768,ACC682473,5700.6,MAD,MXN,UK,Turkey,E-Wallet,0,Normal_Personal_Transfer
2023-09-27,08:40,ACC493650,ACC741424,5018.71,MXN,USD,USA,Germany,ACH Transfer,0,Normal_Personal_Transfer
2023-06-15,12:50,ACC687270,ACC573137,6057.8,AED,USD,UAE,Morocco,E-Wallet,0,Normal_Personal_Transfer
2023-03-23,23:54,ACC951612,ACC274823,6166.91,EUR,MAD,Turkey,Morocco,E-Wallet,0,Normal_Corporate_Payment
2023-06-15,11:23,ACC732822,ACC949190,1711.34,TRY,CNY,China,Morocco,Credit Card,0,Normal_Personal_Transfer
2023-02-21,19:35,ACC789834,ACC840233,6867.24,MAD,GBP,Turkey,Mexico,E-Wallet,0,Normal_Corporate_Payment
2023-03-06,10:22,ACC386788,ACC236203,4528.99,AED,EUR,Germany,Mexico,Cross-Border,1,Suspicious_CrossBorder_Transfer
2023-07-01,19:06,ACC662781,ACC232430,5178.65,USD,TRY,UAE,Mexico,Cross-Border,1,Suspicious_RapidMovement
2023-06-02,14:17,ACC445968,ACC617086,312.86,CNY,AED,Germany,Morocco,ACH Transfer,0,Normal_Corporate_Payment
2023-11-30,21:16,ACC614922,ACC715438,7647.92,USD,GBP,UAE,China,Debit Card,0,Normal_Personal_Transfer
2023-05-13,09:51,ACC933721,ACC550587,8355.93,AED,AED,Germany,UAE,Debit Card,0,Normal_Personal_Transfer
2023-07-31,14:30,ACC532809,ACC837667,6198.02,GBP,MAD,UK,Morocco,Cash,1,Suspicious_Cash_Intensive
2023-08-19,15:07,ACC532331,ACC572355,7489.75,USD,CNY,Morocco,UK,Cross-Border,1,Suspicious_CrossBorder_Transfer
2023-01-05,10:01,ACC866505,ACC379360,5231.83,EUR,CNY,Morocco,UK,Cross-Border,1,Suspicious_CrossBorder_Transfer
2023-08-31,03:27,ACC777900,ACC927641,6187.35,AED,GBP,Turkey,Morocco,Debit Card,0,Normal_Corporate_Payment
2023-03-06,02:14,ACC397625,ACC405131,3951.77,TRY,TRY,UAE,UK,Cross-Border,1,Suspicious_Related_Accounts
2023-12-17,00:24,ACC326577,ACC732312,7920.82,GBP,MXN,Germany,Turkey,Debit Card,0,Normal_Corporate_Payment
2023-02-24,20:57,ACC701385,ACC609742,4688.03,MAD,MXN,Mexico,China,Cash,1,Suspicious_Shell_Companies
2023-06-01,05:40,ACC909010,ACC666608,6805.33,EUR,TRY,USA,Germany,ACH Transfer,0,Normal_Corporate_Payment
2023-02-01,05:04,ACC434192,ACC373445,6218.08,USD,MAD,Morocco,USA,E-Wallet,0,Normal_Personal_Transfer
2023-12-30,17:39,ACC614771,ACC306123,7026.12,MXN,MAD,Germany,UAE,ACH Transfer,0,Normal_Personal_Transfer
2023-07-03,07:40,ACC283951,ACC323410,7854.31,CNY,USD,Morocco,Morocco,Cash,1,Suspicious_Shell_Companies
2023-08-06,12:08,ACC241668,ACC226560,5132.01,EUR,EUR,UAE,Morocco,Cross-Border,1,Suspicious_Related_Accounts
2023-01-25,03:54,ACC553885,ACC363035,8132.53,MXN,AED,UK,UAE,Mobile Payment,0,Normal_Personal_Transfer
2023-10-01,23:02,ACC513146,ACC412601,4977.6,MAD,MXN,USA,Turkey,Credit Card,0,Normal_Personal_Transfer
2023-03-18,20:26,ACC279022,ACC737677,9566.78,MXN,EUR,USA,UK,Cross-Border,1,Suspicious_Shell_Companies
2023-11-24,20:43,ACC982169,ACC547651,7529.19,MAD,GBP,China,UAE,E-Wallet,0,Normal_Personal_Transfer
2023-03-16,09:45,ACC380831,ACC383076,1719.71,GBP,AED,Germany,Germany,Debit Card,0,Normal_Corporate_Payment
2023-03-11,18:17,ACC546049,ACC366336,8297.55,TRY,AED,Germany,Mexico,Cheque,1,Suspicious_RapidMovement
2023-01-14,03:27,ACC222540,ACC902560,5520.36,USD,AED,Turkey,Morocco,E-Wallet,0,Normal_Corporate_Payment
2023-06-22,00:12,ACC791349,ACC122836,9844.76,CNY,GBP,UK,USA,Credit Card,0,Normal_Personal_Transfer
2023-07-26,00:28,ACC916615,ACC386981,7191.0,USD,TRY,Mexico,Mexico,Cash,1,Suspicious_Related_Accounts
2023-01-24,14:04,ACC382902,ACC741316,853.06,CNY,CNY,Turkey,Morocco,ACH Transfer,0,Normal_Personal_Transfer
2023-10-11,10:55,ACC756442,ACC225172,3955.65,EUR,CNY,Mexico,Germany,ACH Transfer,0,Normal_Corporate_Payment
2023-06-15,12:25,ACC862301,ACC384922,5177.58,AED,TRY,China,Germany,Mobile Payment,0,Normal_Corporate_Payment
2023-07-11,00:10,ACC720656,ACC143130,8391.75,USD,TRY,Morocco,Mexico,Cross-Border,1,Suspicious_Cash_Intensive
2023-06-10,10:08,ACC670179,ACC378852,7296.16,GBP,AED,Morocco,Turkey,ACH Transfer,0,Normal_Personal_Transfer
2023-05-27,17:14,ACC146901,ACC469625,3699.91,USD,MAD,Mexico,USA,E-Wallet,0,Normal_Personal_Transfer
2023-07-24,10:37,ACC576728,ACC255304,6537.79,EUR,MXN,Morocco,Mexico,Cross-Border,1,Suspicious_Related_Accounts
2023-02-26,17:34,ACC466056,ACC288338,5773.34,USD,EUR,UAE,Mexico,Mobile Payment,0,Normal_Corporate_Payment
2023-03-08,05:35,ACC695350,ACC629070,1269.27,TRY,CNY,UK,UAE,Mobile Payment,0,Normal_Personal_Transfer
2023-11-11,19:30,ACC589838,ACC554412,2356.24,MAD,GBP,UAE,Turkey,Debit Card,0,Normal_Personal_Transfer
2023-12-12,14:07,ACC776923,ACC781675,3417.81,MXN,EUR,Morocco,Mexico,Debit Card,0,Normal_Personal_Transfer
2023-05-17,05:03,ACC958440,ACC372196,1962.88,MXN,CNY,China,USA,Cash,1,Suspicious_Related_Accounts
2023-04-09,05:40,ACC495991,ACC905953,1509.84,MAD,MXN,Germany,China,Cheque,1,Suspicious_CrossBorder_Transfer
2023-08-24,15:04,ACC603528,ACC824794,591.4,MXN,AED,Mexico,USA,Debit Card,0,Normal_Personal_Transfer
2023-05-30,19:55,ACC619149,ACC313827,8732.29,TRY,EUR,UK,Turkey,Cross-Border,1,Suspicious_Cash_Intensive
2023-01-10,09:58,ACC904406,ACC431834,2896.54,GBP,AED,UK,Mexico,ACH Transfer,0,Normal_Personal_Transfer
2023-02-26,06:11,ACC777748,ACC659834,2910.3,EUR,EUR,Germany,UK,Debit Card,0,Normal_Corporate_Payment
2023-09-19,20:48,ACC704879,ACC834705,2070.22,TRY,MAD,Morocco,UK,Debit Card,0,Normal_Personal_Transfer
2023-08-29,16:03,ACC352990,ACC257044,4759.22,EUR,CNY,UK,Germany,Cross-Border,1,Suspicious_Shell_Companies
2023-01-10,10:45,ACC380759,ACC729001,5147.28,GBP,TRY,China,UAE,Mobile Payment,0,Normal_Corporate_Payment
2023-03-23,11:42,ACC122838,ACC355628,2090.73,TRY,MAD,China,China,Debit Card,0,Normal_Corporate_Payment
2023-03-26,04:54,ACC402872,ACC726905,6089.62,USD,MAD,UAE,UAE,ACH Transfer,0,Normal_Personal_Transfer
2023-09-03,15:02,ACC740537,ACC122030,7232.77,AED,AED,Turkey,Morocco,Cheque,1,Suspicious_RapidMovement
2023-01-08,08:36,ACC702288,ACC617933,3744.66,GBP,EUR,USA,Morocco,ACH Transfer,0,Normal_Personal_Transfer
2023-02-07,23:53,ACC414942,ACC841001,5858.66,MXN,EUR,Germany,Turkey,Mobile Payment,0,Normal_Personal_Transfer
2023-10-19,11:31,ACC565992,ACC189831,5028.0,TRY,MAD,Morocco,UAE,Cheque,1,Suspicious_Related_Accounts
2023-03-07,11:39,ACC244608,ACC177400,1963.53,GBP,EUR,UK,Germany,ACH Transfer,0,Normal_Personal_Transfer
2023-08-27,13:34,ACC236772,ACC380199,7302.81,GBP,MAD,Mexico,Morocco,E-Wallet,0,Normal_Personal_Transfer
